SPANISH,ENGLISH
De,Of
Que,That
No,No
A,To
La,The
El,He
Y,And
Es,Is
En,In
Lo,It
Un,A
Por,By
Qué,That
Me,Me
Una,A
Los,The
Se,He
Te,Tea
Con,With
Para,For
Está,This
Mi,My
Pero,But
Sí,Yeah
Si,Yeah
Bien,Good
Eso,That
Su,His
Las,The
Yo,I
Del,Of The
Como,As
Aquí,Here
Tu,You
Al,To The
Más,Further
Le,You
Esto,This
Todo,All
Ya,Already
Estoy,I'M
Ahora,Now
Muy,Very
Ha,Ha
Esta,This
Así,So
Vamos,Come On
Algo,Something
Hay,There Is
Bueno,Well
Tengo,I Have
Él,He
Cuando,When
Estás,Are
Sé,He
Tú,You
Nos,Us
Nada,Nothing
Cómo,As
Este,This
O,Either
He,He
Ser,Be
Tiene,Has
Puedo,I Can
Ella,She
Quiero,Wanna
Hacer,Do
Fue,Was
Gracias,Thank You
Vez,Time
Era,Was
Soy,Am
Sólo,Only
Todos,All
Porque,Because
Son,Are
Tienes,Have
Creo,Believe
Voy,Go
Sabes,You Know
Estaba,Was
Puede,Can
Eres,Are
Ese,That
Usted,You
Entonces,So
Hola,Hello
Solo,Only
Verdad,True
Casa,Home
Tan,So
Quién,Who
Sus,Their
Tiempo,Time
Dos,Two
Esa,That
Nunca,Never
Dónde,Where
Va,Goes
